entity,n-revs
src/actions/featureActions.test.js,2
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.js,2
src/components/Content/AlertList/AlertList.test.js,2
src/components/searchFilters/CheckBoxRefinementList/CheckBoxRefinementList.js,2
src/middleware/dapulseClient.test.js,2
src/actions/featureActions.js,2
src/actions/authenticationActions.test.js,2
src/selectors/routeSelector.test.js,2
src/components/Content/GeneralFeedback/GeneralFeedback.test.js,2
src/reducers/session.test.js,2
src/middleware/contentFlowMiddleware.test.js,2
test/cucumber_reports/helix_cucumber_reports_qa.json,2
src/components/searchFilters/ApplyTags/index.js,2
src/middleware/sharedWorkerMiddleware.test.js,2
locales/en-US/login.json,2
src/components/BookmarkPanel/BookmarkPanel.test.js,2
src/middleware/searchMiddleware.js,2
src/selectors/helixStateSelector.js,2
src/components/Loading/index.js,2
src/reducers/contentFlowReducer.test.js,2
src/components/Content/DrawerContainer/ContentHeader/index.js,2
src/searchFilters/ApplyTags/index.js,2
src/components/Search/ResultsCounter.test.js,2
tools/test.js,2
src/components/Content/ContentDetail/ContentFeatures/ShareFeature.js,2
src/components/BookmarkPanel/BookmarkPanel.js,2
src/components/SearchResults/ResultCard/index.js,2
src/techNotifications/index.js,2
src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.js,2
src/types.js,2
src/components/ContentFlow/SearchResults/index.js,2
src/middleware/supportSessionMiddleware.test.js,2
src/actions/technicianActions.test.js,2
src/components/Header/HeaderTasks.scss,2
flow-typed/npm/jest_v18.x.x.js,2
public/assets/images/mostViewed_icon.png,2
src/components/Content/AlertList/AlertList.js,2
.flowconfig,2
src/components/Search/Pagination.scss,2
src/components/SearchBox/NotFound/NotFound.js,2
jest/fileTransform.js,2
public/assets/images/login-splash.jpg,2
src/components/Search/ResultsCounter.scss,1
src/utils/form/validation.test.js,1
src/models/activity.js,1
src/models/subactivity.js,1
src/__mocks__/mixpanelMiddleware.js,1
src/styles/semantic-ui/site/globals/site.variables,1
src/models/technician.test.js,1
src/components/Content/BookmarkList/BookmarkList.scss,1
src/utils/form/validation.js,1
.nvmrc,1
src/clients/bitlyClient.test.js,1
src/styles/semantic-ui/site/elements/button.variables,1
src/styles/semantic-ui/site/modules/dropdown.variables,1
src/components/Content/ContentDetail/ContentDetail.scss,1
src/components/Activities/OnExDeviceInfo.test.js,1
