entity,author,added,deleted
src/components/Activities/OnExDeviceInfo.test.js,Ginu Philip Simon,47,0
src/components/Activities/index.js,Ginu Philip Simon,2,0
src/components/ApplicationError/ApplicationError.js,Gary Paige,81,20
src/components/ApplicationError/ApplicationError.js,Muhamed Brifkani,1,1
src/components/ApplicationError/ApplicationError.scss,Gary Paige,48,4
src/components/ApplicationError/ApplicationError.test.js,Gary Paige,43,6
src/components/ApplicationError/index.js,Gary Paige,2,0
src/components/BookmarkPanel/BookmarkPanel.js,Gary Paige,80,2
src/components/BookmarkPanel/BookmarkPanel.scss,Gary Paige,41,0
src/components/BookmarkPanel/BookmarkPanel.test.js,Gary Paige,44,1
src/components/Content/AlertList/AlertList.js,Gary Paige,26,1
src/components/Content/AlertList/AlertList.scss,Gary Paige,11,0
src/components/Content/AlertList/AlertList.test.js,Gary Paige,48,1
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.js,Gary Paige,147,1
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.scss,Gary Paige,181,0
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.test.js,Gary Paige,121,1
src/components/Content/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.js,Gary Paige,176,0
src/components/Content/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.test.js,Gary Paige,161,0
src/components/Content/BookmarkList/BookmarkCard/index.js,Gary Paige,4,0
src/components/Content/BookmarkList/BookmarkList.js,Gary Paige,50,1
src/components/Content/BookmarkList/BookmarkList.scss,Gary Paige,17,0
src/components/Content/BookmarkList/BookmarkList.test.js,Gary Paige,33,1
src/components/Content/Content.js,Gary Paige,441,505
src/components/Content/Content.js,Alex Petty,15,11
src/components/Content/Content.js,Daniel Nalbach,37,13
src/components/Content/Content.js,Jeff Tougas,152,52
src/components/Content/Content.js,Muhamed Brifkani,111,197
src/components/Content/Content.js,argvader,16,4
src/components/Content/Content.js,Laidlaw,27,12
src/components/Content/Content.scss,Gary Paige,99,38
src/components/Content/Content.scss,Muhamed Brifkani,40,19
src/components/Content/Content.test.js,Gary Paige,143,176
