entity,main-dev,added,total-added,ownership
src/components/Content/GeneralFeedback/GeneralFeedback.js,Gary Paige,20,20,1
src/components/Content/GeneralFeedback/GeneralFeedback.scss,Gary Paige,0,0,0
src/components/Content/GeneralFeedback/GeneralFeedback.test.js,Gary Paige,17,17,1
src/components/Content/Landing/Landing.js,Gary Paige,13,13,1
src/components/Content/Landing/Landing.scss,Gary Paige,26,26,1
src/components/Content/Landing/Landing.test.js,Gary Paige,17,17,1
src/components/Content/Landing/index.js,Gary Paige,2,2,1
src/components/Content/__tests__/Content.js,Gary Paige,14,14,1
src/components/Content/index.css,Gary Paige,1531,1537,1
src/components/Content/index.js,Jeff Tougas,6,11,0.55
src/components/Content/index.scss,Gary Paige,3072,3072,1
src/components/ContentFlow/ContentDetail/ContentFlowDetail.js,Ginu Philip Simon,17,19,0.89
src/components/ContentFlow/ContentDetail/ContentFlowDetail.test.js,Ginu Philip Simon,28,30,0.93
src/components/ContentFlow/ContentDetail/index.js,Ginu Philip Simon,2,2,1
src/components/ContentFlow/SearchResults/ContentFlowSearchResults.js,Ginu Philip Simon,25,25,1
src/components/ContentFlow/SearchResults/ContentFlowSearchResults.test.js,Ginu Philip Simon,39,39,1
src/components/ContentFlow/SearchResults/index.js,Ginu Philip Simon,2,2,1
src/components/ContentTabs/ContentTabs.js,Gary Paige,110,110,1
src/components/ContentTabs/ContentTabs.scss,Gary Paige,62,62,1
src/components/ContentTabs/ContentTabs.test.js,Gary Paige,69,69,1
src/components/Dashboard/Dashboard.js,Gary Paige,113,149,0.76
src/components/Dashboard/Dashboard.scss,Gary Paige,127,131,0.97
src/components/Dashboard/Dashboard.test.js,Gary Paige,57,85,0.67
src/components/Dashboard/index.js,Gary Paige,2,2,1
src/components/Feedback/Feedback.js,Jeff Tougas,253,556,0.46
src/components/Feedback/Feedback.scss,Jeff Tougas,62,149,0.42
src/components/Feedback/Feedback.test.js,Jeff Tougas,169,331,0.51
src/components/Feedback/index.js,Muhamed Brifkani,2,4,0.5
src/components/Header/Header.js,Gary Paige,177,313,0.57
src/components/Header/Header.scss,Gary Paige,205,320,0.64
