entity,n-authors,n-revs
src/actions/carrierActions.test.js,1,2
src/reducers/currentCarrier.js,1,2
src/utils/__tests__/carrier.js,1,2
src/components/Login/Login.scss,1,2
src/middleware/contentDetailMiddleware.js,1,2
jest/cssTransform.js,1,2
src/components/Content/ContentHeader/ContentHeader.test.js,1,2
public/assets/images/LoaderTrans.gif,1,2
src/clients/__mocks__/algoliasearch.js,1,2
src/actions/carrierActions.js,1,2
src/selectors/analyticStateSelector.js,1,2
src/utils/eventBusWorker/onconnect.js,1,2
src/components/Content/BookmarkList/BookmarkList.js,1,2
src/middleware/searchMiddleware.test.js,1,2
src/reducers/authenticationReducer.test.js,1,2
src/__tests__/App.js,1,2
src/reducers/healthReducer.test.js,1,2
src/selectors/helixStateSelector.test.js,1,2
src/components/Content/DrawerContainer/ContentToolbar/ContentToolbar.test.js,1,2
src/reducers/authenticationReducer.js,1,2
src/actions/helixStateActions.test.js,1,2
src/components/Content/Landing/Landing.test.js,1,2
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.test.js,1,2
src/reducers/healthReducer.js,1,2
src/components/Header/Navbar.test.js,1,2
src/reducers/contentDetailReducer.js,1,2
src/components/SearchBox/NotFound/index.js,1,2
src/components/Content/Landing/Landing.js,1,2
src/selectors/userSelector.test.js,1,2
src/components/Content/BookmarkList/BookmarkList.test.js,1,2
src/selectors/healthSelector.test.js,1,2
src/components/Content/__tests__/Content.js,1,2
public/assets/images/google-logo.svg,1,2
src/middleware/activitiesMiddleware.test.js,1,2
src/featureToggleConfig.json,1,2
src/components/Activities/Activities.scss,1,2
src/connectors/connectSharedWorker/connectSharedWorker.js,1,2
src/components/Content/ContentHeader/ContentHeader.js,1,2
src/clients/dapulseClient.test.js,1,2
src/components/SearchResults/CardView/ResultCard/Footer.test.js,1,2
src/components/TabMenu/Tab.test.js,1,2
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.js,1,2
src/components/Content/AlertList/AlertList.test.js,1,2
src/actions/authenticationActions.test.js,1,2
src/selectors/routeSelector.test.js,1,2
src/components/Content/GeneralFeedback/GeneralFeedback.test.js,1,2
locales/en-US/login.json,1,2
src/components/BookmarkPanel/BookmarkPanel.test.js,1,2
src/middleware/searchMiddleware.js,1,2
src/selectors/helixStateSelector.js,1,2
src/components/Loading/index.js,1,2
src/reducers/contentFlowReducer.test.js,1,2
src/components/Content/DrawerContainer/ContentHeader/index.js,1,2
src/components/Search/ResultsCounter.test.js,1,2
src/components/Content/ContentDetail/ContentFeatures/ShareFeature.js,1,2
src/components/BookmarkPanel/BookmarkPanel.js,1,2
src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.js,1,2
src/types.js,1,2
src/components/Header/HeaderTasks.scss,1,2
flow-typed/npm/jest_v18.x.x.js,1,2
src/components/Content/AlertList/AlertList.js,1,2
src/components/Search/Pagination.scss,1,2
src/components/SearchBox/NotFound/NotFound.js,1,2
jest/fileTransform.js,1,2
public/assets/images/login-splash.jpg,1,2
src/components/Search/ResultsCounter.scss,1,1
src/utils/form/validation.test.js,1,1
src/models/activity.js,1,1
src/models/subactivity.js,1,1
src/__mocks__/mixpanelMiddleware.js,1,1
src/styles/semantic-ui/site/globals/site.variables,1,1
src/models/technician.test.js,1,1
src/components/Content/BookmarkList/BookmarkList.scss,1,1
src/utils/form/validation.js,1,1
.nvmrc,1,1
src/clients/bitlyClient.test.js,1,1
src/styles/semantic-ui/site/elements/button.variables,1,1
src/styles/semantic-ui/site/modules/dropdown.variables,1,1
src/components/Content/ContentDetail/ContentDetail.scss,1,1
src/components/Activities/OnExDeviceInfo.test.js,1,1
src/middleware/initializationMiddleware.test.js,1,1
public/assets/images/question.png,1,1
src/styles/semantic-ui/site/modules/checkbox.variables,1,1
src/middleware/contentTabsMiddleware.test.js,1,1
src/clients/__mocks__/mixpanel-browser.js,1,1
src/components/Content/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.js,1,1
locales/en-US/bookmarks.json,1,1
.dockerignore,1,1
src/styles/semantic-ui/site/collections/form.variables,1,1
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.scss,1,1
src/selectors/contentFlowSelector.js,1,1
src/styles/semantic-ui/theme.config,1,1
public/assets/images/logo.svg,1,1
test/features/support/qtest/submit-qtest.sh,1,1
src/styles/semantic-ui/site/elements/icon.overrides,1,1
src/styles/semantic-ui/site/collections/form.overrides,1,1
src/utils/breadcrumbsBuilder.js,1,1
src/components/Content/ContentHeader/ContentHeader.scss,1,1
src/middleware/swebInMiddleware.test.js,1,1
public/assets/images/smc.svg,1,1
src/components/Content/GeneralFeedback/GeneralFeedback.scss,1,1
src/styles/semantic-ui/site/modules/dropdown.overrides,1,1
src/reducers/createReducer.js,1,1
src/components/Activities/index.js,1,1
src/components/Search/Search.scss,1,1
.node-version,1,1
src/components/BookmarkPanel/BookmarkPanel.scss,1,1
src/clients/sharedWorkerEventBusClient.test.js,1,1
src/utils/routeDecorators.js,1,1
src/constants/serviceHeaderConstants.js,1,1
locales/en-US/contentTypes.json,1,1
public/assets/images/resizeDrawerIcon.png,1,1
src/components/ApplicationError/index.js,1,1
src/utils/routeDecorators.test.js,1,1
public/assets/images/Bookmark.svg,1,1
src/__mocks__/routerActionsMock.js,1,1
tools/jest/fileTransform.js,1,1
src/actions/sharedWorkerEventBusActions.js,1,1
src/components/Content/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.test.js,1,1
src/components/SearchResults/CardView/ResultCard/Footer.scss,1,1
src/styles/semantic-ui/site/views/card.overrides,1,1
src/utils/breadcrumbsBuilder.test.js,1,1
public/assets/images/mostRecent_icon.png,1,1
src/connectors/withSharedWorkerEventBus/index.js,1,1
src/components/TabMenu/index.js,1,1
env/features_public.json,1,1
src/components/Content/BookmarkList/BookmarkCard/index.js,1,1
src/components/Content/ContentHeader/index.js,1,1
test/cucumber_reports/.keep,1,1
public/favicon.ico,1,1
src/components/Dashboard/index.js,1,1
src/components/Content/Landing/index.js,1,1
src/__mocks__/react-cookie.js,1,1
src/components/KnowledgeAlerts/index.js,1,1
public/assets/images/derp.png,1,1
src/components/Content/AlertList/AlertList.scss,1,1
flow-typed/npm/jest_v19.x.x.js,1,1
src/clients/bitlyClient.js,1,1
env/features_soco.json,1,1
src/utils/form/semanticFormField.test.js,1,1
src/components/Activities/OnExDeviceInfo.js,1,1
src/utils/client.test.js,1,1
tools/jest/cssTransform.js,1,1
src/actions/sessionActions.js,1,1
src/components/Content/ContentDetail/ContentFeatures/index.js,1,1
flow/CSSModule.js.flow,1,1
locales/en-US/share.json,1,1
test/features/support/qtest/parse-qtest.sh,1,1
src/components/Content/Landing/Landing.scss,1,1
src/styles/semantic-ui/site/elements/button.overrides,1,1
src/styles/semantic-ui/site/collections/breadcrumb.overrides,1,1
src/styles/semantic-ui/site/elements/input.variables,1,1
src/components/ContentFlow/ContentDetail/index.js,1,1
src/utils/eventBusWorker/onconnect.test.js,1,1
src/constants/technicianKeys.js,1,1
public/assets/images/Alert.svg,1,1
src/utils/eventBusWorker/onmessage.test.js,1,1
public/assets/images/alertLandingModule_icon.png,1,1
